"S.N","Scheme Code","MSC_Primary","MSC_Secondary","WEP_Primary","WEP_Secondary","Vertical ","Title","Scheme Provider","Area Of Interest","Sector ","State","Eligibility","Link for enrollment","Link to scheme information","Link to government website","Details","Gender ","Implementing Agency","Target Audience",""
"223","","Access to finance","NA","Funding","NA","Funding0","Pashu Bhagya","Department of Animal Husbandry Fisheries, Government of Karnataka","","Agri and allied activities","Karnataka","Farmers belonging to Scheduled Caste and Scheduled Tribes; small and marginal farmers","NA","NA","https://ahf.karnataka.gov.in/info-2/ANIMAL+HUSBANDRY/en","Financial assistance provided under this scheme are: 
- Back ended subsidy of 33% to farmers belonging to Scheduled Caste and Scheduled Tribes and 25% to other small and marginal farmers will be provided to establish cattle, sheep, goat, pig, poultry units in availing maximum loan of Rs.1.20 lakh from commercial banks (The subsidy to SC/ST has been revised from 33% to 50% vide Pashu Bhagya Administrative Approval GO, dated 04-08-2015).
- Short term loans upto Rs.50,000 at 0% interest will be provided through Co-operative Banks, on the lines of crop loan, for providing cattle feed/other maintenance expenditure.
- The subsidy will be provided to the members of Milk Producers' Co-operative Societies for payment of insurance premiums upto 5 cattle.
- The scheme of providing Rs.5,000 ex-gratia under 'Kurigahi Suraksha Scheme' will be continued. A grant of Rs.5 crore will be provided for this program.","B","","Entrepreneurs",""
"224","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Kaimagga Vikasa Yojane","Department of Handloom and Textiles, Government of karnataka","","Manufacturing","Karnataka","Artisans","NA","NA","http://www.karnatakadht.org/english/handlooms-schemes.php","The scheme objective is to continue the handloom weaving activity and to develop the sector and to attract the young weavers towards handloom weaving. The government is providing 50% assistance on the purchase of cotton/ silk/ woolen handlooms by the beneficiaries and 75% assistance for the handloom co-operative societies.","B","","Entrepreneurs",""
"225","","Entrepreneurship Promotion","Access to finance","Incubation and Acceleration","Funding","Incubation and Acceleration, Funding","Idea2poc (Proof of Concept) Grant","","","All","Karnataka","All","https://startup.karnataka.gov.in/elevate","","https://startup.karnataka.gov.in/docs/Idea2PoC_OPG_Doc.pdf","‘Idea2POC’ initiative is part of India’s first multi-sector Startup Policy launched by the Government of Karnataka in November, 2015. The objective is to encourage innovators who may need early-stage funding to stimulate commercialization of their inventions and to help in validating Proof of Concept. The scheme enables technology innovators and entrepreneurs to pursue a promising technology idea and validate proof
of concept (PoC). Idea2POC is given in the form of Grant-in-aid but limited to a one time grant of up to Rs. 50 lakhs. Funding shall be released in tranches as per the Project milestones agreed in the MoA between Startup and KBITS.
Support under the scheme:
o The funding support offered by the Department under this scheme is in the form of grant-in-aid.
o The funding level is up to Rs. 50 lakhs.
o The fund disbursement is milestone based and is released in installments over a maximum period of 2 years. Proposed project duration cannot exceed 2 years.
o Scheme Implementation Partner will be identified for non-BT startups herein after referred to as Implementation Partner (IP)
o Scheme Implementation Partner will be Bangalore Bio Innovation Centre for BT startups herein after referred to as Implementation Partner (IP)
o MOU will be signed between KBITS and the Implementation Partner
Eligibility Criteria for Start-ups and Individual Applicants
o The Applicant shall be a Startup as per definition in Startup Policy.
o The Applicant need not necessarily be incubated for being eligible for the Idea2POC grant assistance.
o For BT startups: The startup must own functional in-house R&D facilities that are adequate to implement the project. If not, then on selection it shall get incubated at an incubator (in biotech area like BBC/CCAMP/IISC) with functional and adequate laboratory facilities.
o The startup that has already received support under this scheme once is not eligible for receiving funding again under this scheme.","B","Startup Karnataka","Entrepreneurs",""
"226","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Semiconductor Venture Fund","","","Manufacturing","Karnataka","ESDM","http://www.kitven.in/application-form","","https://startup.karnataka.gov.in/funding/","Karnataka Semiconductor Venture Capital Fund (KARSEMVEN Fund) is a SEBI registered Venture Capital Fund having a corpus of Rs. 92.95 crore. The fund process to undertake investments in companies catering to semiconductor, electronics system design & manufacturing (ESDM), Embedded systems and such other allied sectors within the state of Karnataka. Eligibility: Early and growth stage startups in the state of Karnataka. The fund does not undertake investment in idea/seed stage companies which are earning revenue from core their activities are only entertained (product/high-end services/solutions etc.)
Funding grant: Maximum funding rs. 9.20 Crores. Minimum funding Rs. 2 Crores
Process to Avail:
Send executive summary covering aspects like brief background of company & promoters, technology, past financial performance, market opportunities, uniqueness of the product / technology / solution, funding requirements by email to info@kitven.com
OR
Send the physical application form to Karnataka Asset Management Company Private Limited, 403, HVS Court, 4th Floor, HVS Court, 21, Cunningham Road, BANGALORE 560052.
A panel of experts judge the application and have further discussions and presentations to decide on the funding","N","Startup Karnataka","Enterprises",""
"227","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Bio Venture Fund","","","All","Karnataka","All","NA","","https://startup.karnataka.gov.in/en/funding/","Details: A fund that invests in companies/ enterprises engaged in the agricultural, pharmaceutical, industrial, IT and other services, related to Biotechnology and allied industries in Karnataka.

Corpus: Rs. 50 Crores.
Available To: Start-ups, Early Stage, and SMEs.
Maximum funding: Rs.3.50 Crores.
Minimum funding: Rs. 1 Crore.

Process to Avail:
Send executive summary covering aspects like brief background of company & promoters, technology, past financial performance, market opportunities, uniqueness of the product / technology / solution, funding requirements by email to info@kitven.com
OR
Send the physical application form to Karnataka Asset Management Company Private Limited, 403, HVS Court, 4th Floor, HVS Court, 21, Cunningham Road, BANGALORE 560052.
A panel of experts judge the application and have further discussions and presentations to decide on the funding","N","Startup Karnataka","Enterprises",""
"228","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","AVGC Venture Fund","","","Service","Karnataka","AVGC Startups","http://www.kitven.in/application-form","","http://www.kitven.in/funds/kitven-fund4","Details: A fund focused on enterprises engaged in Animation, Visual Effects, Gaming and Comics (AVGC) sector and other related businesses.
Corpus: Rs. 20 Crores.

Available To:
Start-ups, Early Stage, Small and Medium Sized Enterprises.
Maximum funding: Rs.2 Crores.
Minimum funding: Rs. 50 Lacs.

Process to Avail:
Send executive summary covering aspects like brief background of company & promoters, technology, past financial performance, market opportunities, uniqueness of the product / technology / solution, funding requirements by email to info@kitven.com
OR
Send the physical application form to Karnataka Asset Management Company Private Limited, 403, HVS Court, 4th Floor, HVS Court, 21, Cunningham Road, BANGALORE 560052.
A panel of experts judge the application and have further discussions and presentations to decide on the funding.","N","Karnataka Information Technology Venture Capital Fund (KITVEN Fund)","Enterprises",""
"229","","Access to finance","NA","Funding","NA","Funding0","Chaitanya Subsidy Cum Soft Loan","D Devraj Urs Backward Classes Development Corporation","","All","Karnataka","All","NA","","https://dbcdc.karnataka.gov.in/info-3/State+Government+Programs/Chaitanya+Subsidy+Cum+Soft+Loan/en","Under this scheme, the Corporation extends loan to Backward Classes upto Rs. 5.00 lakh unit cost, to take up financial development activities in collaboration with Bank /Financial institutions.
The Corporation releases 30% or maximum of Rs.10,000/- subsidy for the project cost upto Rs. 25,000 and for the project cost of Rs. 25,001 to Rs. 1.00 lakh, the Corporation releases 20% margin money and subsidy of Rs.10,000/- per beneficiary. For the projects above Rs.1.00 lakh, the Corporation releases 20% Margin Money only. The Corporation charges 4% interest p.a. on margin money. The Bank will charge the interest at the prevailing lending rates of the Banks for their portion of loan","N","D Devraj Urs Backward Classes Development Corporation","Enterprises",""
"230","","Access to finance","NA","Funding","NA","Funding0","Micro loan (Individual) scheme for Minority Womens","Karnataka Minorities Development Corporation Limited","","All","Karnataka","All","NA","","https://kmdc.karnataka.gov.in/info-2/KMDC+SCHEMES/MICRO+LOAN+SCHEME+(INDIVIDUAL)+FOR+WOMEN+2020-21/en","Impoverished by Covid -19, Poverty-sticken minority communities who have never received any loan or subsidy from any of the corporation’s projects, a short-term loan scheme for Minority women in karnataka, for initial investment of Rs 10,000/- (Loan Rs. 8000/- & Subsidy of Rs.2000/-) for small business, vegetables shop, Tea / Coffee Shop, Fruits & Flower Business etc.. is provided.","F","Karnataka Minorities Development Corporation Limited","Enterprises",""
"231","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","SHRAMA SHAKTHI 
LOAN SCHEME","Karnataka Minorities Development Corporation Limited","","Manufacturing","Karnataka","Traditional Artisans and Professional Craftsmen","NA","","https://kmdc.karnataka.gov.in/info-2/KMDC+SCHEMES/SHRAMASHAKTHI+LOAN+SCHEME/en","Under this Scheme, loan will be provided to minority traditional artisans to improve their artistic and technical skill to start or improve their trade. A loan upto Rs.50,000/- (maximum) at a low rate of interest will be provided. Out of this. 50% will be considered a s ‘back end subsidy’ to the beneficiary. In case the beneficiary repays 50% of the loan sanctioned within the specified period of 36 months.","B","Karnataka Minorities Development Corporation Limited","Entrepreneurs",""
"232","","Access to finance","NA","Funding","NA","Funding0","SELF EMPLOYMENT LOAN","Karnataka Arya Vysya Community Development Corporation","","All","Karnataka","Arya Vysya Community","NA","","https://kacdc.karnataka.gov.in/info-2/SELF+EMPLOYMENT+LOAN/en","Under this scheme, applicants belonging to the Arya Vysya Community can apply loan for self-employment activities like business, farming, services, industrial activities etc. The unit cost for this scheme is maximum of Rs 1,00,000/- which is provided with 20% subsidy, a maximum amount of Rs 20.000/- subsidy. The loan for the balance amount of Rs 80,000/- is provided at the rate of 4% interest per annum.

Under this scheme, the unit cost is minimum of Rs. 50,000 / - and the subsidy for this amount is 20% i.e. Rs. 10,000 / - and the outstanding loan amount is Rs.40,000 / - with an interest at the rate of 4%.

Eligibility:
- Candidate must belong to Arya Vysya Community.
- Applicants family income per annum for both rural and urban areas must be within Rs.3,00,000/-
- Applicant must be above 18 years and below 45 years of age.","B","Karnataka Arya Vysya Community Development Corporation","Entrepreneurs",""
"233","","Access to finance","NA","Funding","NA","Funding0","Self-employment scheme (Direct loan)","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","","All","Karnataka","Vishwakarma Community","NA","","https://kvcdcl.karnataka.gov.in/info-2/Self-employment+scheme+(Direct+loan)/en","Under this scheme persons belonging to Vishwakarma communities who pursue occupations other than traditional occupations are been provided financial assistance to the extent of Rs.40,000/- & 30% subsidy with a maximum of Rs.10,000/- at the rate of 4% per annum. The loan is repayable in 34 equal installments with 2 months ‘grace period for 3 years.","B","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","Entrepreneurs",""
"234","","Access to finance","NA","Funding","NA","Funding0","Self employment loans in association with banks for Vishwakarma Community","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","","All","Karnataka","Vishwakarma Community","NA","","https://kvcdcl.karnataka.gov.in/info-2/Self-employment+scheme+with+the+help+of+banks/en","A maximum amount of Rs.5 lakhs will be provided through banks for business, industry, service industry and agriculture-based activities of Vishwakarma communities. Unit cost Rs.1 lakh; Subsidy up to 30% - maximum Rs.10,000; plus 20% margin amount Unit cost Rs.1 lakh to Rs.5 lakh. Loan will be sanctioned at an interest rate of 4%.","B","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","Entrepreneurs",""
"235","","Access to finance","NA","Funding","NA","Funding0","Micro Finance for Women through Self Help Groups","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","","All","Karnataka","Women of Vishwakarma Community","NA","","https://kvcdcl.karnataka.gov.in/info-2/Micro+Finance+for+Women+through+Self+Help+Groups/en","In this scheme women belonging to Vishwakarma Communities are provided with micro credit finance for small and marginal business through self-help groups. This scheme helps the women entrepreneurs to start a small business activities like Flower shop, Vegetable and Fruit shop, Fish trade, Coffee-Tea stall and for other marginal trading activities. In this scheme financial assistance to the extent of Rs.10,000/- Loan at the rate of 4% per annum & 30% subsidy with a maximum of Rs.5,000/- is provided. The loan is repayable in 34 equal installments with 2 months grace period for 3 years","F","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","Entrepreneurs",""
"236","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","To provide financial assistance to traditional artisans(Panchavrutthi)","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","","Manufacturing","Karnataka","Traditional artisans ofVishwakarma Communities","NA","","https://kvcdcl.karnataka.gov.in/info-2/To+provide+financial+assistance+to+traditional+artisans(Panchavrutthi)/en","To purchase modern tools and upgrade the Technological skill, the traditional artisans ofVishwakarma Communities are provided with financial assistance by sanctioning loan to the extent of the unit cost of Rs.1,00,000/- a maximum amount of Rs.80,000/- is provided as loan at the rate of 4% per annum, and a maximum of Rs.20,000/- as subsidy. The loan is repayable in 34 equal installments with 2 months grace period for 3 years.
The Panchavrutthi scheme includes the following occupations (1) Gold& Silver work, (2) Sculpture, (3) Blacksmith, (4) Woodwork& Handicrafts, (5) metallurgy.","B","Karnataka Vishwakarma Communities Development Corporation Ltd Bengaluru, Government of Karnataka","Entrepreneurs",""
"237","","Access to finance","NA","Funding","NA","Funding0","Entrepreneur Support Scheme (ESS)","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","MSMEs engaged in manufacturing activities","https://schemes.industry.kerala.gov.in/public/index.php/schemes","NA","https://keralaindustry.org/index.php/scheme-incentives/kerala-government","The ESS aims to merge and replace all the previous schemes titled the Entrepreneur Support Scheme 2012 to be operated in the State of Kerala. All MSMEs engaged in manufacturing activities are eligible for assistance. The new Entrepreneur Support Scheme intends to
(i) provide extensive support to micro, small and medium enterprises and
(ii) give one time support to entrepreneurs, with due regard to special categories by optimal utilisation of funds and giving more flexibility of operation while implementing the Scheme
All Micro, Small and Medium Enterprises engaged in manufacturing activities and setup in the State, which had filed Entrepreneurs Memorandum Part 1/II with the respective General Manager, District Industries Centre shall be eligible for this assistance.
Quantum of assistance: Extend support to micro, small and medium enterprises - Given in 3 Stages: 1st stage – Startup Support, 2nd stage - Investment Support 3rd stage - Technology Support. - The Start-up support is provided for enterprises prior to commencement of commercial production. - Investment Support after the commencement of commercial production. Technology Support after commencing production on acquiring new technology. - Financial Support up to 15-45% of the fixed capital investment, limited to 30 lakhs - Industries in priority sector are given 10% additional support - Industries established in Backward districts ( Pathanamthitta,Idukki,Wayanad & Kasarkod) are given 10% additional support","B","Directorate of Industries & Commerce","Entrepreneurs",""
"238","","Mentoring/Networking","Access to finance","","Funding",", Funding","WE Mission-Kerala","Kerala State Industrial Development Corporation (KSIDC), Government of Kerala","","All","Kerala","Existing and new entrepreneurs","NA","NA","http://www.wemissionkerala.org/

https://kerala.gov.in/subsubdetail/eyJpdiI6IjJ6YWJVY21BdWZnMTZ6SVd5SlRoYWc9PSIsInZhbHVlIjoiRUdyaVNiWTVmQU41UmdLXC8xc3ZEcUE9PSIsIm1hYyI6IjNkNGQzMWYxMjJlZGY5MWIwODdhOGE3NDMzMWM0NDczM2EyMTBkYWJhMWY2ZWQ4NzE0YzlkNWQzMDMzZjRjMjAifQ==/eyJpdiI6ImpTUFJ0czMwM1YyTjJVYjd3b1MwZHc9PSIsInZhbHVlIjoiVitEamMzT2lOeE9uR0hOeG40ck0zZz09IiwibWFjIjoiMmFmMmM0MDBjMzkxZGM1YjZiZGFiNDRkNDllZjlhMmUxZjVmMWQxZjBkODZjNDMwNDAwMGMzZjc5NGU3OTI4YyJ9","KSIDC has identified encouraging women entrepreneurs as one of the key areas of growth for Kerala economy. In this backdrop, KSIDC has embarked upon a path breaking initiative, the WE- Mission Kerala, which aims at scaling up the women-led endeavours through comprehensive support measures. To strengthen women entrepreneurship in Kerala, the mission helps to identify, promote and provide support to women entrepreneurs for scaling up their existing business ventures.
WE Mission comes up with the services like:
i. Mentoring support for women entrepreneurs
ii. Exposure visits to successful women enterprises
iii. Financial assistance from KSIDC
iv. Arranging necessary infrastructure and incubation
v. Exposure visits to successful women enterprises
vi. Collaborating and networking the business ventures","F","KSIDC","Entrepreneurs",""
"239","","Access to finance","NA","Funding","NA","Funding0","Assistance Scheme for Handicrafts Artisans (ASHA)","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","Artisans","http://schemes.industry.kerala.gov.in/public/index.php/schemes","","https://industry.kerala.gov.in/english/index.php/asha;
http://industry.kerala.gov.in/images/downloads/ashaguidelines.pdf","The Assistance Scheme for Handicrafts Artisans( ASHA) replaced the existing Scheme “Entrepreneur Assistance Scheme in Handicrafts” and aims to bring the artisans in the handicrafts sector under the ambit of a Single Scheme for availing financial assistance in the form of grant assistance for setting up handicraft enterprises.
The Assistance Scheme for Handicraft artisans intends to:
i) Provide extensive Support to Artisans in the Handicrafts Sector for setting up Handicrafts-based micro enterprises.
ii) Give one time support (grant) to eligible artisans of the state as a back end assistance.
The applicant should be enrolled as an artisan/craftsman under the office of the Development Commissioner (Handicrafts) or Surabhi, HDCK Ltd., KELPALM, KSBC, KADCO. General Manager, District Industries Centre will be the sanctioning authority. The amount will be disbursed through bank. The key features of the Schemes are
1) The Scheme envisages extending one-time assistance to Artisans who set up a micro enterprise in the handicrafts sector.
2) The support will be extended as a back-end financial assistance in the form of grant upon commissioning of the enterprise and after filing EM Part II/ Udyog Adhar.
3) 40% of the expenditure on Fixed Capital Investments (FCI) subject to a ceiling of Rs.2 lakhs and 50% of the expenditure on fixed capital Investment for women, SC/ST and young artisans subject to a ceiling of Rs.3 lakhs will be given as assistance
4) The principal elements of Fixed Capital Investment include the cost of constructing work shed/workshop, essential tools, equipment, machinery and accessories and electrification. Technology transfer fees/consultancy charge/Product/Design development charges will be considered for financial assistance.","B","","Entrepreneurs",""
"240","","Entrepreneurship Promotion","Access to finance","Incubation and Acceleration","Funding","Incubation and Acceleration, Funding","Entrepreneurship Development Club (ED Club)","Directorate of Industries & Commerce, Government of Kerala","","All","Kerala","Any College or Higher Secondary School","http://schemes.industry.kerala.gov.in/public/index.php/schemes","http://industry.kerala.gov.in/images/downloads/ed-club.pdf","https://industry.kerala.gov.in/english/index.php/pages/capacity-building/ed-club","The objectives of Entrepreneurship Development Club are to inculcate entrepreneurship qualities, to sensitise industrial scenario of the state, to nurture the latent entrepreneurial talent, develop awareness among its members of the attitudes, values, and skills of successful entrepreneurs around the globe etc.

Any College or Higher Secondary School may set up an EDC with at least 25 interested students with a teacher/faculty preferably from Commerce or Economics as Coordinator. In schools the members will be preferably from Classes XI and XII.

Financial assisstance of Rs.12,000 per annum will be given as grant to each club by the Department of Industries & Commerce . A minimum of 10% is to be contributed by the institution. Funds from other sources can also be pooled. Additional assistance will be considered on merit. District Industries Centre (DIC) concerned will be the implementing agency.General Manager, DIC shall advise the activities and have close liaison in conducting the activities","N","Directorate of Industries & Commerce","Third Parties",""
"241","","Access to finance","NA","Funding","NA","Funding0","The Kerala stressed MSMEs Revival & Rehabilitation Scheme","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","MSME in the manufacturing category, which come under the definition of Sick Unit","https://schemes.industry.kerala.gov.in/public/index.php/schemes","NA","https://industry.kerala.gov.in/english/index.php/schemes-mainmenu/interest-subvention-scheme-to-nano-units-scheme-menu","The scheme intends to provide financial and other handholding support to the MSMEs which show signs of stress and to convert their non-productive assets into productive assets.Entitlement in the scheme shall be limited to an amount of Rs.5 (Five) lakhs per applicant unit to be availed as one time assistance only. The industries included in Negative list and notified as such from time to time, Government controlled industries, public sector undertakings, units started by Government controlled agencies, units financed by KVIC/KVIB etc. shall not eligible for any assistance under these rules. Assistance/Relief Available from Government Restructuring of existing loan account: If the bank is willing to restructure the existing loan account and extent additional term loan/working capital loan based on the Revival Project recommendations of the Expert Committee, the unit is eligible for the following one time Assistances. These assistances are also eligible for self financed units availing term loan/working capital loan as part of the Revival Package recommended by the Expert Committee. a) Margin Money Grant 50% of the margin insisted by the bank/Financial Institution towards additional working capital loan and term loan, will be payable as Grant Assistance limited to Rs 2 lakhs. b) Interest Subvention Assistance To provide a financial assistance in the form of interest subvention on a reimbursement basis for the additional term loan and additional working capital loan availed by the units based on the Revival Project Report recommended by the expert committee. The interest subvention is 6% per annum subject to a maximum amount of Rs 1 lakh. The interest subvention is limited for one (first) year on the loan sanctioned by the financial institution/bank. Restart Expenses: The following one time assistances shall be payable as Re-start expenses based on the Revival Project recommendations of the Expert Committee. a) In cases where no term loan is availed for the purchase of brand new additional/balancing plant & machinery, 50% of the cost of Additional/Balancing Plant and Machinery limited to Rs 1.50 lakhs will be payable as one time assistance. b) 50% of the cost incurred for the inevitable repair and maintenance of existing Plant and Machinery and Building limited to Rs 1.00 lakh will be reimbursed. Clearance of Statutory Dues: If there is statutory dues existing for the unit related to the agencies like KSEB, GST/Commercial Tax, Excise, Pollution Control Board etc. 50% of the dues limited to Rs 40,000 shall be payable as one time assistance based on the Revival Project recommendations of the Expert Committee.","N","Directorate of Industries & Commerce","Enterprises",""
"242","","Training/skilling","Access to business support services","Business Development Services","Business Development Services","Business Development Services, Business Development Services","Assistance to Skilled Entrepreneurs Development Centres","Directorate of Industries & Commerce, Government of Kerala","","All","Kerala","Skilled and unskilled workers","https://schemes.industry.kerala.gov.in/public/index.php/schemes","","http://industry.kerala.gov.in/images/downloads/2020/Skilled-Entrepreneur-Development-Programme.pdf","Assistance to Skilled Entrepreneurs Development Centres - aims to assist the Industrial Co-operative Societies in every Local Self Governments (LSGs) in the state for providing service of skilled and unskilled workers identified in various sectors to the needy people and to assist the societies financially so that the skilled and unskilled workers in the state will get more man days and better wages considering the fact that the demand for skilled and unskilled workers is high in various sectors such as civil, in construction, agriculture, industries etc. The scheme aims to provide better opportunities to the skilled workers and to convert the unskilled workers into experts in the relevant fields through skill development training and by providing necessary work tools. The scheme will be implemented through District Industries Cntres Under block level co-ordination and training support in association with Directorate of Industrial Training.","B","District Industries Centres","Labour in Enterprise",""
"243","","Access to finance","NA","Funding","NA","Funding0","Scheme for margin money grant to Nano Units","Directorate of Industries & Commerce, Government of Kerala","","All","Kerala","Registered Nano Proprietory enterprises","https://schemes.industry.kerala.gov.in/public/index.php/schemes","NA","https://industry.kerala.gov.in/english/index.php/schemes-mainmenu/margin-money-grand-to-nano-units-schemes","The objective of the scheme is to promote/incentivize deserving entrepreneurs in setting up Nano enterprises within the State through Margin Money loan to Nano units for loan linked projects. Maximum limit of Margin Money Grant provided under this scheme shall be Rs.4 lakhs per unit. All newly registered, Nano Proprietory enterprises in manufacturing /food processing and job works and units engaged in service sector having any type or value addition .whose project cost including Fixed Capital and Working Capital upto 10 lakhs are eligible for assistance under the scheme. Preference is given to special categories such as women, handicapped persons, ex- serviceman and persons belonging to SC/ST. Youth entrepreneurs up to the age of 40 are also given priority under this scheme. 30 % of the beneficiaries under the scheme shall be women entrepreneur.","B","Directorate of Industries & Commerce","Entrepreneurs",""
"244","","Access to finance","NA","Funding","NA","Funding0","Revival and Rehabilitation scheme for Defunct MSMEs and Cashew processing","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","Defunct MSMEs","https://schemes.industry.kerala.gov.in/public/index.php/schemes","NA","https://industry.kerala.gov.in/english/index.php/schemes-mainmenu/revival-and-rehabilitation-scheme-for-defunct-msmes-and-cashew-processing-units-schemes","The scheme envisages supporting defunct MMSEs in the manufacturing sector including cashew processing units through assistance in the form of capital grants and working capital incentives. All MSMEs in manufacturing sector which are defunct due to genuine issues including cashew processing enterprises who have potential capacity to be revived and rehabilitated, are eligible for assistance under the scheme. 

Financial assistance under the scheme are provided for the following components:
a. Building Renovation - 25 % of Total revival Project Cost limited to Rs. 2 Lakhs
b. Plant & Machinery and Electrification - 40% of Total revival Project Cost limited to 8 Lakhs
c. Working Capital (Margin) – 50% margin of working capital loan approved by financial institution subject to: i. Assistance limited to Rs 2 lakhs for defunct MSMEs
ii. Assistance limited to Rs 5 lakhs for Cashew units
iii. Maximum limit is Rs 12 lakhs for defunct MSMEs per unit
iv. Maximum limit is Rs 15 lakhs for defunct Cashew processing per unit.","B","Directorate of Industries & Commerce","Entrepreneurs",""
"245","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Establishment of Common Facilities Service Centre for Handicrafts Sector","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","Artisans","NA","NA","https://industry.kerala.gov.in/english/index.php/handicraft","In handicrafts sector a major problem faced by the artisans is the non availability of a common centre at where they could get the services and machineries in an affordable rate. Establishment of Common facilities Service Centre for Handicraft Products in selected crafts/areas is essential for giving training in handicrafts, quality testing, machine based job work dyeing, polishing and printing works; the scheme is intended for development and promotion of new designs, Establishment and Modernization of Common Facility Service Centres of Surabhi, KADCO, HDCK & KELPALM.","B","Directorate of Industries & Commerce","Entrepreneurs",""
"246","","Entrepreneurship Promotion","NA","Incubation and Acceleration","NA","Incubation and Acceleration0","State Awards for Craftsmen of Kerala","Directorate of Industries & Commerce, Government of Kerala","","Manufacturing","Kerala","All Craftsmen residing in Kerala for more than 10 years","NA","NA","https://industry.kerala.gov.in/english/index.php/handicraft-awards","The objective of the scheme of State Awards is to give recognition to Master Craftsmen who have made outstanding contribution in terms of excellence of craftsmanship and development of crafts. The award is to serve an incentive to such craftsman to continue their pursuit as well as an example to others who may strive to receive the same.
ELIGIBILITY
1.All Craftsmen residing in Kerala for more than 10 years are eligible to compete for the State Award.
2.A Craft person shall be eligible for a state award or state Merit Certificate in a given craft only once in his/her life time.
3.Any Craft person who has previously been won the state award/awarded to Merit Certificate shall not be eligible for being awarded another award/State Merit Certificate in the same craft. However the existing Merit Certificate holders shall be eligible for State Award.
THE AWARD CONTENTS: There shall be 7 State Awards and 7 State Level Merit Certificates. Each State Awards shall consists of a cash prize of Rs. 50,000/-, a brass plaque and an angavastram. Each State Level Merit Certificate shall consist of besides a certificate, a cash prize of Rs. 10,000/-","B","Directorate of Industries & Commerce","Entrepreneurs",""
"247","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Technology Management Development Programme","Directorate of Industries & Commerce, Government of Kerala","","All","Kerala","Youth","NA","NA","https://industry.kerala.gov.in/english/index.php/pages/capacity-building/tmdp","The objective of this scheme is to provide skill based training to youth so as to provide them enhanced proficiency for setting up enterprises or equipping them to become entrepreneurs. This scheme intends to impart skill development training to 50 youth in each district in selected areas. Emphasis will be given to sectors like Apparel & Fashion design, Food processing, Light engineering, Storage devices, electronic equipment, Energy saving devices, Non Conventional energy generation, Plastic recycling and waste management etc","B","Directorate of Industries & Commerce","Entrepreneurs",""
"248","","Entrepreneurship Promotion","NA","Incubation and Acceleration","NA","Incubation and Acceleration0","Entrepreneur Awareness Programme (EAP)","Directorate of Industries & Commerce, Government of Kerala","","All","Kerala","Entrepreneurs","NA","NA","https://industry.kerala.gov.in/english/index.php/pages/capacity-building/eap","Entrepreneur Awareness Programme is one day awareness camp cum seminar being conducted in Industrial Training Institutes, Polytechnics and Arts & Science Colleges statewide. One such programmes shall be conducted in each institution among students for inculcating entrepreneurial culture and sensitizing various opportunities and facilities available for establishing enterprises in potential sectors. These programmes were conducted in block, municipality and in municipal corporations among prospective entrepreneurs in previous years.","B","Directorate of Industries & Commerce","Entrepreneurs",""
